,index,Player,G,GS,MP,FG,WS,BPM,VORP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,HOF,all_star_appear,URL,nba_champ,all_defensive,all_star_mvp,league_mvp,scoring_champ,all_nba,finals_mvp,def_poy,stl_champ,ast_champ,trb_champ,blk_champ
469,476,Mike Bantom,938.0,76.0,25221.0,4361.0,45.3,-13.699999999999998,11.3,9305.0,5.0,21.0,4356.0,9284.0,2201.0,3194.0,2130.0,3689.0,5819.0,1944.0,784.0,616.0,1095.0,10928.0,0,0.0,bantomi01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,477,Mike Bibby,1129.0,1062.0,37820.0,5906.0,79.2,-12.700000000000003,22.4,13591.0,1763.0,4595.0,4143.0,8996.0,2478.0,3105.0,562.0,2896.0,3458.0,6072.0,1276.0,162.0,2354.0,16053.0,0,0.0,bibbymi01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,478,Mike Conley,706.0,676.0,22985.0,3628.0,62.8,17.0,22.5,8196.0,907.0,2391.0,2721.0,5805.0,1887.0,2316.0,300.0,1762.0,2062.0,4011.0,1055.0,137.0,1438.0,10050.0,0,0.0,conlemi01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
472,479,Mike Dunleavy,1574.0,691.0,39308.0,5743.0,81.3,-46.699999999999996,17.300000000000004,12855.0,1569.0,4237.0,4174.0,8618.0,2866.0,3569.0,948.0,4508.0,5456.0,4214.0,1156.0,379.0,2271.0,15921.0,0,0.0,dunlemi01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
473,479,Mike Dunleavy,1574.0,691.0,39308.0,5743.0,81.3,-46.699999999999996,17.300000000000004,12855.0,1569.0,4237.0,4174.0,8618.0,2866.0,3569.0,948.0,4508.0,5456.0,4214.0,1156.0,379.0,2271.0,15921.0,0,0.0,dunlemi02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
474,480,Mike Gminski,1128.0,714.0,29524.0,5106.0,64.9,-50.4,9.1,11084.0,8.0,65.0,5098.0,11019.0,3028.0,3570.0,2535.0,5415.0,7950.0,1446.0,624.0,1179.0,1643.0,13248.0,0,0.0,gminsmi01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,481,Mike James,865.0,397.0,20788.0,3040.0,31.999999999999993,-56.8,5.300000000000001,7344.0,993.0,2634.0,2047.0,4710.0,1217.0,1522.0,314.0,1654.0,1968.0,2938.0,684.0,55.0,1255.0,8290.0,0,0.0,jamesmi01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
476,481,Mike James,865.0,397.0,20788.0,3040.0,31.999999999999993,-56.8,5.300000000000001,7344.0,993.0,2634.0,2047.0,4710.0,1217.0,1522.0,314.0,1654.0,1968.0,2938.0,684.0,55.0,1255.0,8290.0,0,0.0,jamesmi02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,482,Mike Miller,1097.0,622.0,29998.0,4389.0,64.6,1.9000000000000004,21.0,9606.0,1699.0,4210.0,2690.0,5396.0,1507.0,1943.0,679.0,4039.0,4718.0,2836.0,615.0,250.0,1686.0,11984.0,0,0.0,millemi01,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,483,Mike Mitchell,843.0,526.0,27600.0,7124.0,56.099999999999994,-27.7,0.6999999999999993,14389.0,19.0,95.0,7105.0,14294.0,2475.0,3196.0,1783.0,3053.0,4836.0,1092.0,590.0,443.0,1453.0,16742.0,0,1.0,mitchmi01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
