Player,G,GS,MP,FG,WS,BPM,VORP,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,HOF,all_star_appear,URL,nba_champ,all_defensive,all_star_mvp,league_mvp,scoring_champ,all_nba,finals_mvp,def_poy,stl_champ,ast_champ,trb_champ,blk_champ
Jack Twyman*,823,0,26147,6237,75.1,0,0,13873,0,0,6237,13873,3366,4325,0,0,5424,1861,0,0,0,15840,1,6,twymaja01,0,0,0,0,0,2,0,0,0,0,0,0
Jamaal Wilkes*,828,245,27275,6226,71.4,-3.3,16.1,12471,7,52,6219,12419,2185,2878,1627,3490,5117,2050,1049,262,1211,14644,1,3,wilkeja01,3,2,0,0,0,0,0,0,0,0,0,0
James Worthy*,926,717,30001,6878,81.3,17.4,28.4,13204,117,486,6761,12718,2447,3184,1561,3147,4708,2791,1041,624,1859,16320,1,7,worthja01,3,0,0,0,0,2,1,0,0,0,0,0
Jerry Lucas*,896,0,34551,6114,106.3,-0.1,0.8,12240,0,0,6114,12240,2835,3620,62,312,13893,2907,28,24,0,15063,1,7,lucasje01,1,0,1,0,0,5,0,0,0,0,0,0
Jerry Sloan*,755,0,25750,4116,49.6,1,5.1,9646,0,0,4116,9646,2339,3239,367,843,5615,1925,381,32,0,10571,1,2,sloanje01,0,6,0,0,0,0,0,0,0,0,0,0
Jerry West*,932,0,36571,9016,162.6,5,1.7,19032,0,0,9016,19032,7160,8801,30,86,5366,6238,81,23,0,25192,1,14,westje01,1,5,1,0,0,12,1,0,0,1,0,0
Joe Dumars*,1018,944,35139,5994,86.2,1.6,19.2,13026,990,2592,5004,10434,3423,4059,671,1532,2203,4612,902,83,2084,16401,1,6,dumarjo01,2,5,0,0,0,3,1,0,0,0,0,0
John Havlicek*,1270,0,46471,10513,131.7,6.7,12.4,23930,0,0,10513,23930,5369,6589,610,1389,8007,6114,476,117,204,26395,1,13,havlijo01,8,8,0,0,0,11,1,0,0,0,0,0
John Stockton*,1504,1300,47764,7039,207.6,60.2,65.9,13658,845,2203,6194,11455,4788,5796,966,3085,4051,15806,3265,315,4244,19711,1,10,stockjo01,0,5,1,0,0,11,0,0,2,9,0,0
Julius Erving*,836,442,28677,7237,106.1,54.8,51.6,14276,46,176,7191,14100,3844,4950,2067,3534,5601,3224,1508,1293,2323,18364,1,16,ervinju01,1,1,2,1,0,7,0,0,0,0,0,0
Kareem Abdul-Jabbar*,1560,625,57446,15837,273.3,85.3,85.9,28307,1,18,15836,28289,6712,9304,2975,9394,17440,5660,1160,3189,2527,38387,1,19,abdulka01,6,11,0,6,0,15,2,0,0,0,1,4
Karl Malone*,1476,1471,54852,13528,234.6,100.1,102.6,26210,85,310,13443,25900,9787,13188,3562,11406,14968,5248,2085,1145,4524,36928,1,14,malonka01,0,4,2,2,0,14,0,0,0,0,0,0
Kevin McHale*,971,400,30118,6830,113.1,27.9,34,12334,41,157,6789,12177,3634,4554,2358,4764,7122,1670,344,1690,1893,17335,1,7,mchalke01,3,6,0,0,0,1,0,0,0,0,0,0
Larry Bird*,897,870,34443,8591,145.9,85.7,79.6,17334,649,1727,7942,15607,3960,4471,1757,7217,8974,5695,1556,755,2816,21791,1,12,birdla01,3,3,1,3,0,10,2,0,0,0,0,0
Lenny Wilkens*,1077,0,38064,6189,95.6,3.2,3.7,14327,0,0,6189,14327,5394,6973,118,279,5030,7211,174,26,0,17772,1,9,wilkele01,0,0,1,0,0,0,0,0,0,1,0,0
Magic Johnson*,906,763,33245,6211,155.7,91.5,77.4,11951,325,1074,5886,10877,4960,5850,1601,4958,6559,10141,1724,374,3506,17707,1,12,johnsma02,5,0,2,3,0,10,3,0,2,4,0,0
Michael Jordan*,1072,1039,41011,12192,213.9,111.9,104.5,24537,581,1778,11611,22759,7327,8772,1668,5004,6672,5633,2514,893,2924,32292,1,14,jordami01,6,9,3,5,0,11,6,1,3,0,0,0
Mitch Richmond*,976,902,34309,7305,79.3,6,24.9,16038,1326,3417,5979,12621,4561,5365,881,2920,3801,3398,1211,254,2579,20497,1,6,richmmi01,1,0,1,0,0,5,0,0,0,0,0,0
Moses Malone*,1411,784,47577,9824,175.8,6.1,46.3,20035,8,80,9816,19955,8836,11530,7168,10116,17284,1885,1156,1914,3804,28492,1,13,malonmo01,1,2,0,3,0,8,1,0,0,0,6,0
Nate Thurmond*,1042,0,37274,5663,80.3,1.5,6.7,13442,0,0,5663,13442,3457,5212,859,2127,14879,2669,147,651,0,14783,1,7,thurmna01,0,5,0,0,0,0,0,0,0,0,0,0
Neil Johnston*,516,0,18298,3303,92,0,0,7435,0,0,3303,7435,3417,4447,0,0,5856,1269,0,0,0,10023,1,6,johnsne01,1,0,0,0,0,5,0,0,0,0,1,0
Oscar Robertson*,1040,0,43886,9508,189.1,0,1.3,19620,0,0,9508,19620,7694,9185,71,208,7804,9887,77,4,0,26710,1,12,roberos01,1,0,3,1,0,11,0,0,0,6,0,0
Paul Arizin*,713,0,24897,5628,108.8,0,0,13354,0,0,5628,13354,5010,6189,0,0,6129,1665,0,0,0,16266,1,10,arizipa01,1,0,1,0,0,4,0,0,0,0,0,0
Pete Maravich*,701,8,25280,6431,47,-11.7,10.6,14568,20,30,6411,14538,3655,4449,443,1482,2825,3646,611,114,612,16537,1,5,maravpe01,0,0,0,0,0,4,0,0,0,0,0,0
